date,nav,spot,prem_mid,opt_cost,payoff,hedge_pnl,hedge_cost,liab,short_notional,net_delta_units,n_sold,n_skipped,ret,real_hourly
2011-01-03,99.9975,1271.87,0.033612,0.00185532,0,0,0.000644397,0.033612,92.5,0,37,3,-2.49972e-05,False
2011-01-04,100.01,1270.2,0.0327445,0.00185388,0,-0.0050231,0.000919204,0.0459436,184.89,0,37,3,0.00012617,False
2011-01-05,100.023,1276.56,0.0350923,0.00185691,0,0.0200581,0.0020188,0.0840155,255.757,0,37,3,0.000132014,False
2011-01-06,100.041,1273.85,0.0342647,0.00189001,0,-0.039862,0.00179045,0.0571179,305.153,0,38,2,0.000176157,False
2011-01-07,100.053,1271.5,0.0307531,0.00178982,0,-0.0294252,0.00155308,0.0430888,327.204,0,36,4,0.000120091,False
2011-01-10,100.055,1269.75,0.0344004,0.00184643,0,-0.0193868,0.00148777,0.0529163,327.03,0,37,3,1.85101e-05,False
2011-01-11,100.103,1274.48,0.0319245,0.00178975,0,0.0341543,0.0012337,0.0676695,325.701,0,36,4,0.000482757,False
2011-01-12,100.138,1285.96,0.0317701,0.00182756,0.00378244,0.132243,0.00438935,0.186879,325.256,0,37,3,0.000347685,False
2011-01-13,100.225,1283.76,0.0306325,0.00181359,0,-0.0504193,0.00414266,0.0740242,324.026,0,37,3,0.000869921,False
2011-01-14,100.314,1293.24,0.0274457,0.00175519,0,0.117377,0.00476166,0.123042,325.362,0,36,4,0.000890876,False
2011-01-18,100.376,1295.02,0.0312012,0.00171041,3.94004e-05,0.01636,0.00172857,0.105633,319.802,0,35,5,0.000612989,False
2011-01-19,100.307,1281.92,0.0310977,0.00187484,0,-0.161844,0.00275615,0.0391429,324.339,0,38,2,-0.000686291,False
2011-01-20,100.309,1280.26,0.037609,0.00191646,0,-0.00903906,0.00148656,0.0625542,329.609,0,38,2,1.75016e-05,False
2011-01-21,100.35,1283.35,0.0365214,0.00186026,0,0.0203468,0.00165978,0.0740939,330.808,0,37,3,0.000416798,False
2011-01-24,100.42,1290.84,0.0365811,0.00195238,0,0.0725456,0.00204157,0.10928,337.623,0,39,1,0.00069702,False
2011-01-25,100.457,1291.18,0.0348981,0.00187125,0,-0.0220442,0.0030332,0.0804567,339.893,0,38,2,0.000366192,False
2011-01-26,100.51,1296.63,0.0353581,0.00186147,0,0.0324372,0.00256477,0.0908019,340.542,0,38,2,0.000527826,False
2011-01-27,100.589,1299.54,0.0330738,0.00181455,0,0.0260193,0.00151575,0.0681635,338.008,0,37,3,0.000780031,False
2011-01-28,100.347,1276.34,0.0454829,0.00211618,0,-0.288642,0.00460985,0.0594884,337.944,0,40,0,-0.00239799,False
2011-01-31,100.406,1286.12,0.0424784,0.00200503,0,0.0496571,0.0012998,0.0892672,343.57,0,39,1,0.000588475,False
2011-02-01,100.374,1307.59,0.0366956,0.00189621,0.0451101,0.208811,0.00693243,0.313691,345.415,0,38,2,-0.000327235,False
2011-02-02,100.512,1304.03,0.0354367,0.001889,0,-0.100997,0.00361872,0.104273,343.442,0,38,2,0.00137835,False
2011-02-03,100.571,1307.1,0.0339297,0.00186565,0,0.000548123,0.00288095,0.0751727,340.72,0,38,2,0.000585322,False
