,CAGR %,Vol %,Sharpe,Sortino,MaxDD %,Calmar,Worst day %,Worst 5d %,Best day %,Skew,Kurt,Hit rate %,MaxDD intraday %,Ret @5% vol
v1 assumptions (equal wt),7.372931423488427,1.7172512588618392,4.15172229450332,4.1293368657017195,-3.0078125215021623,2.4512602998960307,-1.2464228471486094,-1.910590624286057,0.7316105591429478,-1.5255495412379954,18.010498321483247,68.32785226410321,-3.57936428635518,20.7586114725166
"Tilted, 22-Sep chain pricing (wing x1.00)",11.995033418246548,2.0470679457933456,5.545461707955972,5.887659686901118,-2.4139839064537094,4.968978204940889,-1.5260453588948009,-2.2386976077297116,1.0811991683499,-1.0138330411464482,15.129137587051941,71.31292689096888,-2.4139839064537094,27.727308539779855
Tilted,3.6548315153247968,2.358546061822877,1.5338973577656645,1.3713564651969878,-4.519967816646808,0.8085968005931903,-1.8828756834932903,-2.6614195462917656,0.8273730658322931,-2.9704802357635582,27.290345862471014,63.0407285605869,-4.519967816646808,7.669486788828323
Equal weights,2.567406593276278,1.8817892862272547,1.3566222450629584,1.1756338175017456,-3.8146993279791652,0.6730298701251404,-1.586694765556751,-2.2147603166063456,0.6182328928875824,-3.413003308884806,31.800380265839763,63.192512016190236,-4.046350240035535,6.783111225314791
Low-delta tilt (80% on 1-5d),2.6659858803499414,1.5258345447874042,1.7320788347060725,1.5255800445039818,-2.9192160578689674,0.9132540474911321,-1.208586625372765,-1.75989294599469,0.5059114296768863,-3.189190892345648,31.12041808779454,63.571970655198584,-2.9192160578689674,8.660394173530364
"Concentrated (5-10d, 4-5DTE only)",5.418649826838329,3.013437624060832,1.7664283296045598,1.6281829167718989,-5.269649435629775,1.0282751999025048,-2.2695810851957265,-3.1595087870255556,1.1825471232816742,-2.545667978541684,24.240170321845405,63.16721477358968,-5.269649435629775,8.832141648022798
"Tilted, hedge daily (close)",0.8379394780808846,3.6998710760679376,0.244186919422981,0.1846189599690102,-18.466965383261467,0.04537505002529524,-3.617020279164529,-4.063618910580469,0.9493246945222911,-5.286628440278126,54.51741725477683,65.82342524664811,-20.859455417762696,1.2209345971149048
"Tilted, unhedged",-1.1302863982176614,5.507543884360803,-0.17859856347194997,-0.1260152161603052,-28.063292096372972,-0.040276329460425093,-5.445284508967163,-6.917922212544503,4.920453618370613,-3.8958180061744634,61.041629632376946,71.86946622818114,-29.052432209253233,-0.8929928173597498
"Tilted, high t-costs",2.825138953710238,2.366500038516905,1.1891816886278452,1.070898743706058,-5.2334489063185945,0.5398235473932519,-1.9028914674331432,-2.6937990907664244,0.8233813786232336,-3.0288257736028292,27.714288535554466,61.57348848975461,-5.2334489063185945,5.945908443139225
"Tilted, listed expiries only",2.951656474249864,2.3647420172604465,1.2420629204078284,1.0692048015615698,-5.353537340519077,0.5513469481028543,-2.1491090527495094,-2.6702494240541497,0.8273730658323375,-3.807016411518209,43.16992938886182,62.68656716417911,-5.353537340519077,6.2103146020391415
"Tilted, stress pricing",-2.157287727783841,3.030536461307666,-0.7043719749608336,-0.5928141615519644,-32.514010255653695,-0.06634948167947759,-2.3283280783124916,-4.217223515777791,1.048758014742801,-4.4728005150622,41.679090834683215,56.286364786238295,-32.8891678227071,-3.5218598748041674
"ATM calls (50d), 4-5DTE",16.854193765581037,7.326982405362332,2.1633554408908795,2.0074729715989927,-15.616663929997465,1.0792441869230758,-5.345232430225999,-9.19924785034002,2.6096823357757426,-2.5736437064642845,20.669775516440033,66.63293700986593,-16.23272945334955,10.816777204454395
ATM replica of tilted strip (1DTE),1.8080368788270018,1.9270851785110867,0.9395191595898946,1.0282951883737628,-10.229904178065997,0.17674035331666405,-1.5738427929742116,-2.2178021127822745,0.8275147636569447,-1.3922377206530816,19.760966439018993,55.98279787503162,-10.524191828297447,4.697595797949473
Tilted scaled 2.5x,9.293458800851706,5.896024248660018,1.5371745365626284,1.3754673278416405,-11.091802904836767,0.8378672863722756,-4.702144735404367,-6.576712139825059,2.0789079689294665,-2.9543882467017633,27.194149081233853,63.0407285605869,-11.091802904836767,7.685872682813142
