date,nav,spot,prem_mid,opt_cost,payoff,hedge_pnl,hedge_cost,liab,short_notional,net_delta_units,n_sold,n_skipped,atm_2d,atm_5d,stress_-10%,stress_-5%,stress_+3%,stress_+5%,stress_+8%,stress_+12%,ret,real_hourly
2011-01-03,99.9972,1271.87,0.0419638,0.00200815,0,0,0.000747909,0.0419638,99.25,0,39,1,0.111832,0.117309,-0.600584,-0.283317,-0.696808,-2.28079,-5.01567,-8.64055,-2.75606e-05,False
2011-01-04,100.01,1270.2,0.0429868,0.00198866,0,-0.00621641,0.00104111,0.0628945,198.382,0,39,1,0.112086,0.117576,-0.946206,-0.448692,-1.35194,-4.56017,-10.0959,-17.4767,0.000128103,False
2011-01-05,100.019,1276.56,0.0464617,0.00200687,0,0.0297669,0.00242376,0.125808,284.345,0,39,1,0.120212,0.126191,-1.84138,-0.868175,-2.32128,-6.9594,-14.7247,-25.1091,8.88335e-05,False
2011-01-06,100.032,1273.85,0.0511051,0.00207401,0,-0.053241,0.00227902,0.106607,353.71,0,39,1,0.126363,0.132777,-1.53835,-0.727833,-2.25558,-7.87521,-17.7751,-30.9801,0.000127095,False
2011-01-07,100.049,1271.5,0.0488287,0.00204732,0,-0.0453191,0.00214589,0.0887203,388.155,0,39,1,0.125679,0.132243,-1.27976,-0.606345,-1.94684,-7.92765,-18.8651,-33.5265,0.000171981,False
2011-01-10,100.079,1269.75,0.0453421,0.00202262,0,-0.0308269,0.00155332,0.0700077,387.885,0,39,1,0.115429,0.12117,-1.06812,-0.507304,-1.72353,-7.67362,-18.6168,-33.43,0.000296374,False
2011-01-11,100.14,1274.48,0.044025,0.00198958,0,0.0396297,0.00125134,0.0888516,389.345,0,39,1,0.109653,0.115107,-1.44118,-0.684809,-2.55277,-9.00305,-19.879,-34.6602,0.000615215,False
2011-01-12,100.174,1285.96,0.0463614,0.00200317,0.00151333,0.143154,0.00418209,0.236296,392.046,0,39,1,0.117233,0.123183,-3.56594,-1.67687,-4.00767,-10.4665,-20.7911,-34.7568,0.000343241,False
2011-01-13,100.253,1283.76,0.0481165,0.00203913,0,-0.0553898,0.00409118,0.144167,390.687,0,39,1,0.122715,0.129123,-2.23888,-1.06028,-3.28258,-9.65188,-20.3767,-34.7618,0.000785881,False
2011-01-14,100.426,1293.24,0.0445597,0.00196762,0,0.165595,0.00426864,0.174811,392.355,0,39,1,0.110539,0.116311,-3.11177,-1.48019,-4.09266,-10.6017,-21.0726,-35.2339,0.00172837,False
2011-01-18,100.568,1295.02,0.0394406,0.00193491,0,0.0233771,0.00224842,0.0917783,391.073,0,38,2,0.102435,0.107452,-1.78875,-0.857066,-3.83569,-10.6146,-21.443,-36.1401,0.00141066,False
